"ID";"StatusVanBewoning";"RegioS";"Perioden";"TotaleWoningvoorraad_1";"Koopwoningen_2";"TotaalHuurwoningen_3";"EigendomWoningcorporatie_4";"EigendomOverigeVerhuurders_5";"EigendomOnbekend_6"
"928";"T001235";"GM0893";"2020JJ00";"    5760";"    4058";"    1691";"    1360";"     331";"      11"
"929";"T001235";"GM0893";"2021JJ00";"    5793";"    4109";"    1678";"    1355";"     323";"       6"
"934";"T001235";"GM0373";"2016JJ00";"   14976";"    9778";"    4798";"    2702";"    2096";"     400"
"935";"T001235";"GM0373";"2017JJ00";"   14992";"    9808";"    4790";"    2700";"    2090";"     394"
"936";"T001235";"GM0373";"2018JJ00";"   15113";"   10133";"    4601";"    2719";"    1882";"     379"
"937";"T001235";"GM0373";"2019JJ00";"   15209";"   10287";"    4878";"    2795";"    2083";"      44"
"938";"T001235";"GM0373";"2020JJ00";"   15344";"   10285";"    4983";"    2792";"    2191";"      76"
"939";"T001235";"GM0373";"2021JJ00";"   15353";"   10278";"    5016";"    2795";"    2221";"      59"
"944";"T001235";"GM0748";"2016JJ00";"   29738";"   17009";"   12624";"    9652";"    2972";"     105"
"945";"T001235";"GM0748";"2017JJ00";"   29916";"   17154";"   12645";"    9634";"    3011";"     117"
"946";"T001235";"GM0748";"2018JJ00";"   30047";"   17076";"   12833";"    9520";"    3313";"     138"
"947";"T001235";"GM0748";"2019JJ00";"   30380";"   17862";"   12462";"    9572";"    2890";"      56"
"948";"T001235";"GM0748";"2020JJ00";"   30884";"   18083";"   12765";"    9681";"    3084";"      36"
"949";"T001235";"GM0748";"2021JJ00";"   30921";"   18151";"   12750";"    9543";"    3207";"      20"
"954";"T001235";"GM1859";"2016JJ00";"   19466";"   12819";"    6413";"    4316";"    2097";"     234"
"955";"T001235";"GM1859";"2017JJ00";"   19458";"   12825";"    6409";"    4292";"    2117";"     224"
"956";"T001235";"GM1859";"2018JJ00";"   19492";"   13147";"    6141";"    4304";"    1837";"     204"
"957";"T001235";"GM1859";"2019JJ00";"   19541";"   13264";"    6255";"    4714";"    1541";"      22"
"958";"T001235";"GM1859";"2020JJ00";"   19525";"   13296";"    6212";"    4628";"    1584";"      17"
"959";"T001235";"GM1859";"2021JJ00";"   19594";"   13379";"    6206";"    4631";"    1575";"       9"
"964";"T001235";"GM1721";"2016JJ00";"   12044";"    8610";"    3283";"    2306";"     977";"     151"
"965";"T001235";"GM1721";"2017JJ00";"   12059";"    8640";"    3306";"    2276";"    1030";"     113"
"966";"T001235";"GM1721";"2018JJ00";"   12301";"    8810";"    3384";"    2369";"    1015";"     107"
"967";"T001235";"GM1721";"2019JJ00";"   12451";"    8951";"    3466";"    2360";"    1106";"      34"
"968";"T001235";"GM1721";"2020JJ00";"   12714";"    9097";"    3610";"    2428";"    1182";"       7"
"969";"T001235";"GM1721";"2021JJ00";"   12798";"    9147";"    3649";"    2428";"    1221";"       2"
"974";"T001235";"GM0568";"2016JJ00";"";"";"";"";"";""
"975";"T001235";"GM0568";"2017JJ00";"";"";"";"";"";""
"976";"T001235";"GM0568";"2018JJ00";"";"";"";"";"";""
"977";"T001235";"GM0568";"2019JJ00";"";"";"";"";"";""
"978";"T001235";"GM0568";"2020JJ00";"";"";"";"";"";""
"979";"T001235";"GM0568";"2021JJ00";"";"";"";"";"";""
"984";"T001235";"GM0753";"2016JJ00";"   12031";"    8786";"    3229";"    2472";"     757";"      16"
"985";"T001235";"GM0753";"2017JJ00";"   12326";"    8837";"    3441";"    2505";"     936";"      48"
"986";"T001235";"GM0753";"2018JJ00";"   12353";"    8887";"    3416";"    2475";"     941";"      50"
"987";"T001235";"GM0753";"2019JJ00";"   12535";"    9047";"    3448";"    2537";"     911";"      40"
"988";"T001235";"GM0753";"2020JJ00";"   12698";"    9094";"    3577";"    2600";"     977";"      27"
"989";"T001235";"GM0753";"2021JJ00";"   12977";"    9237";"    3735";"    2624";"    1111";"       5"
"994";"T001235";"GM0209";"2016JJ00";"   10667";"    7178";"    3427";"    2519";"     908";"      62"
"995";"T001235";"GM0209";"2017JJ00";"   10829";"    7222";"    3561";"    2532";"    1029";"      46"
"996";"T001235";"GM0209";"2018JJ00";"   11043";"    7529";"    3457";"    2559";"     898";"      57"
"997";"T001235";"GM0209";"2019JJ00";"   11090";"    7718";"    3358";"    2528";"     830";"      14"
"998";"T001235";"GM0209";"2020JJ00";"   11137";"    7747";"    3374";"    2527";"     847";"      16"
"999";"T001235";"GM0209";"2021JJ00";"   11262";"    7888";"    3372";"    2527";"     845";"       2"
"1004";"T001235";"GM0375";"2016JJ00";"   18846";"    9915";"    8865";"    7073";"    1792";"      66"
"1005";"T001235";"GM0375";"2017JJ00";"   19106";"   10065";"    8969";"    7206";"    1763";"      72"
"1006";"T001235";"GM0375";"2018JJ00";"   19189";"   10256";"    8875";"    7263";"    1612";"      58"
"1007";"T001235";"GM0375";"2019JJ00";"   19280";"   10528";"    8740";"    7076";"    1664";"      12"
"1008";"T001235";"GM0375";"2020JJ00";"   19403";"   10676";"    8711";"    7030";"    1681";"      16"
"1009";"T001235";"GM0375";"2021JJ00";"   19511";"   10704";"    8796";"    7028";"    1768";"      11"
"1014";"T001235";"GM0063";"2016JJ00";"    4696";"    3053";"    1553";"    1261";"     292";"      90"
"1015";"T001235";"GM0063";"2017JJ00";"    4697";"    3066";"    1540";"    1248";"     292";"      91"
"1016";"T001235";"GM0063";"2018JJ00";"";"";"";"";"";""
"1017";"T001235";"GM0063";"2019JJ00";"";"";"";"";"";""
"1018";"T001235";"GM0063";"2020JJ00";"";"";"";"";"";""
